id,PartyName,VoteCount
150,Republican,53
205,Republican,94
220,Republican,74
475,Republican,147
6805,Republican,97
7780,Republican,1
150,Republican,41
205,Republican,57
220,Republican,46
475,Republican,71
6805,Republican,47
150,Republican,97
205,Republican,182
220,Republican,153
475,Republican,190
6805,Republican,164
150,Republican,75
205,Republican,135
220,Republican,98
475,Republican,141
6805,Republican,108
150,Republican,105
205,Republican,188
220,Republican,140
475,Republican,194
6805,Republican,171
150,Republican,80
205,Republican,95
220,Republican,97
475,Republican,114
6805,Republican,87
150,Republican,42
205,Republican,69
220,Republican,69
475,Republican,78
6805,Republican,71
150,Republican,44
205,Republican,96
220,Republican,104
475,Republican,123
6805,Republican,102
150,Republican,142
205,Republican,212
220,Republican,222
475,Republican,227
6805,Republican,212
150,Republican,26
205,Republican,52
220,Republican,57
475,Republican,68
6805,Republican,57
150,Republican,41
205,Republican,55
220,Republican,69
475,Republican,76
6805,Republican,64
150,Republican,102
205,Republican,143
220,Republican,153
475,Republican,192
6805,Republican,158
150,Republican,96
205,Republican,139
220,Republican,154
475,Republican,171
6805,Republican,154
150,Republican,139
205,Republican,183
220,Republican,213
475,Republican,227
6805,Republican,198
150,Republican,113
205,Republican,142
220,Republican,163
475,Republican,179
6805,Republican,154
150,Republican,120
205,Republican,148
220,Republican,159
475,Republican,179
6805,Republican,128
150,Republican,252
205,Republican,282
220,Republican,294
475,Republican,335
505,Republican,2
6805,Republican,303
7780,Republican,159
150,Republican,247
205,Republican,265
220,Republican,293
475,Republican,324
6805,Republican,289
7780,Republican,7
150,Republican,254
205,Republican,324
220,Republican,324
475,Republican,406
6805,Republican,316
150,Republican,188
205,Republican,206
220,Republican,185
475,Republican,247
6805,Republican,180
150,Republican,117
205,Republican,158
220,Republican,160
475,Republican,195
6805,Republican,157
150,Republican,164
205,Republican,217
220,Republican,231
475,Republican,278
6805,Republican,223
7780,Republican,180
150,Republican,396
205,Republican,504
220,Republican,565
475,Republican,606
6805,Republican,509
7780,Republican,862
150,Republican,261
205,Republican,259
220,Republican,274
505,Republican,308
7755,Republican,281
150,Republican,233
205,Republican,233
220,Republican,226
505,Republican,274
6805,Republican,227
7780,Republican,276
150,Republican,283
205,Republican,301
220,Republican,301
475,Republican,51
505,Republican,328
6805,Republican,41
7755,Republican,279
7780,Republican,16
150,Republican,63
205,Republican,66
220,Republican,61
505,Republican,70
6805,Republican,65
7780,Republican,72
150,Republican,192
205,Republican,193
220,Republican,200
505,Republican,247
7755,Republican,212
150,Republican,358
205,Republican,380
220,Republican,376
505,Republican,510
6805,Republican,369
7780,Republican,510
150,Republican,320
205,Republican,321
220,Republican,331
505,Republican,481
6805,Republican,287
7780,Republican,484
150,Republican,988
205,Republican,1174
220,Republican,1243
505,Republican,1511
7755,Republican,1280
150,Republican,602
205,Republican,669
220,Republican,687
505,Republican,830
7755,Republican,708
150,Republican,576
205,Republican,594
220,Republican,598
505,Republican,799
7755,Republican,636
150,Republican,1076
205,Republican,1180
220,Republican,1265
505,Republican,1500
7755,Republican,1295
150,Republican,740
205,Republican,781
220,Republican,808
505,Republican,1032
7755,Republican,866
150,Republican,508
205,Republican,527
220,Republican,527
505,Republican,642
7755,Republican,559
150,Republican,375
205,Republican,369
220,Republican,383
505,Republican,462
7760,Republican,455
150,Republican,245
205,Republican,259
220,Republican,251
505,Republican,284
6805,Republican,264
7780,Republican,280
150,Republican,336
205,Republican,330
220,Republican,319
505,Republican,414
7760,Republican,407
150,Republican,660
205,Republican,739
220,Republican,725
475,Republican,839
7760,Republican,912
150,Republican,372
205,Republican,392
220,Republican,427
505,Republican,526
6805,Republican,387
7780,Republican,526
150,Republican,217
205,Republican,216
220,Republican,228
505,Republican,397
6805,Republican,228
7780,Republican,387
150,Republican,224
